epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.586,1.38626,0.96138,1.00121,0.87706,0.85266,0.89521,0.56979,1.45888,0.84263,1.07492,0.0668428,0.000166619,0.000166619
2,750.9,1.17867,0.67622,0.94614,0.88319,0.88429,0.89054,0.54025,1.5079,0.7772,1.14214,0.0336758,0.00033296,0.00033296
3,1112.43,1.11511,0.62098,0.93563,0.89773,0.8785,0.90656,0.58095,1.44909,0.75113,1.09605,0.000507479,0.000498001,0.000498001
4,1473.49,1.07443,0.58013,0.92536,0.92337,0.91354,0.92316,0.57887,1.3944,0.69464,1.07551,0.000495616,0.000495616,0.000495616
5,1845.85,1.05766,0.56552,0.92287,0.90637,0.89412,0.90517,0.58078,1.4157,0.68404,1.09862,0.000492224,0.000492224,0.000492224
6,2217.14,1.04837,0.55723,0.91477,0.91672,0.92025,0.92577,0.60104,1.28946,0.67328,1.00851,0.000487886,0.000487886,0.000487886
7,2578.99,1.01789,0.53169,0.9102,0.91463,0.89025,0.91207,0.58095,1.37721,0.70252,1.09078,0.00048262,0.00048262,0.00048262
8,2937.98,1.00889,0.54362,0.90672,0.92475,0.90829,0.91979,0.5938,1.34802,0.66758,1.05825,0.000476445,0.000476445,0.000476445
9,3305.03,1.00906,0.53902,0.90157,0.91114,0.90981,0.9196,0.59819,1.34531,0.6845,1.04527,0.000469386,0.000469386,0.000469386
10,3675.76,0.99943,0.53768,0.90045,0.90129,0.91438,0.92037,0.6054,1.34156,0.65616,1.05554,0.000461471,0.000461471,0.000461471
11,4048.23,0.9886,0.53474,0.89973,0.90134,0.90585,0.9184,0.60968,1.32953,0.68685,1.03564,0.000452732,0.000452732,0.000452732
12,4429.55,0.97184,0.5212,0.89347,0.92599,0.92377,0.93064,0.61588,1.31072,0.64055,1.03096,0.000443202,0.000443202,0.000443202
13,4803.9,0.96532,0.51088,0.88644,0.91654,0.91491,0.92526,0.61333,1.30151,0.67859,1.01356,0.00043292,0.00043292,0.00043292
14,5178.64,0.95845,0.50596,0.8885,0.91767,0.91045,0.91769,0.60609,1.36794,0.64274,1.09848,0.000421925,0.000421925,0.000421925
15,5538.44,0.94477,0.49724,0.88527,0.93666,0.91803,0.9273,0.60356,1.35391,0.62595,1.08355,0.000410262,0.000410262,0.000410262
16,5892.22,0.93934,0.49607,0.88512,0.89258,0.90373,0.9121,0.59455,1.3955,0.65808,1.11975,0.000397977,0.000397977,0.000397977
17,6235.75,0.92411,0.48824,0.88155,0.91163,0.91874,0.91742,0.60494,1.37073,0.6374,1.09015,0.000385117,0.000385117,0.000385117
18,6582.42,0.93153,0.48519,0.88183,0.9316,0.91759,0.9297,0.62734,1.28588,0.62249,1.01886,0.000371734,0.000371734,0.000371734
19,6955.1,0.91045,0.47837,0.87973,0.91589,0.91207,0.92097,0.60298,1.33271,0.63912,1.04991,0.00035788,0.00035788,0.00035788
20,7324.38,0.90197,0.47257,0.8751,0.91601,0.89621,0.9152,0.59462,1.37649,0.64935,1.07437,0.000343611,0.000343611,0.000343611
21,7683.25,0.90144,0.47329,0.87272,0.92214,0.89789,0.91988,0.61151,1.34524,0.63464,1.07407,0.000328982,0.000328982,0.000328982
22,8040,0.89616,0.46726,0.87235,0.91553,0.88429,0.91211,0.59124,1.4023,0.6508,1.11446,0.000314051,0.000314051,0.000314051
23,8397.44,0.86742,0.45139,0.86664,0.92749,0.91773,0.92984,0.61117,1.33802,0.63183,1.0411,0.000298877,0.000298877,0.000298877
